id,name,sku,cat,uzanti
2333433,AYKA-38,KAPILAR_0074_AYKA-38,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0074_AYKA-38.png
2333434,NORM-109,KAPILAR_0074_NORM-109,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0074_NORM-109.png
2333435,AYKA-37,KAPILAR_0075_AYKA-37,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0075_AYKA-37.png
2333436,NORM-108,KAPILAR_0075_NORM-108,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0075_NORM-108.png
2333437,AYKA-36,KAPILAR_0076_AYKA-36,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0076_AYKA-36.png
2333438,NORM-107,KAPILAR_0076_NORM-107,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0076_NORM-107.png
2333439,AYKA-35,KAPILAR_0077_AYKA-35,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0077_AYKA-35.png
2333440,NORM-106,KAPILAR_0077_NORM-106,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0077_NORM-106.png
2333441,AYKA-34,KAPILAR_0078_AYKA-34,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0078_AYKA-34.png
2333442,NORM-105,KAPILAR_0078_NORM-105,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0078_NORM-105.png
2333443,AYKA-33,KAPILAR_0079_AYKA-33,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0079_AYKA-33.png
2333444,NORM-104,KAPILAR_0079_NORM-104,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0079_NORM-104.png
2333445,AYKA-32,KAPILAR_0080_AYKA-32,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0080_AYKA-32.png
2333446,NORM-103,KAPILAR_0080_NORM-103,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0080_NORM-103.png
2333447,AYKA-31,KAPILAR_0081_AYKA-31,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0081_AYKA-31.png
2333448,NORM-102,KAPILAR_0081_NORM-102,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0081_NORM-102.png
2333449,AYKA-30,KAPILAR_0082_AYKA-30,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0082_AYKA-30.png
2333450,NORM-101,KAPILAR_0082_NORM-101,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0082_NORM-101.png
2333451,AYKA-29,KAPILAR_0083_AYKA-29,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0083_AYKA-29.png
